condition_id,seed,profile,m,k,topology,contact_prob,epoch_length,traffic_regime,attack_type,has_real_attack,approach,scenario,num_nodes,time_to_first_local_suspicion,time_to_median_local_suspicion,time_to_first_regional_coord,time_to_median_regional_coord,time_to_fleet_awareness,false_escalation_count,true_coord_hits,missed_coord_attacks,stale_pressure_events,total_bytes,total_merges,bytes_per_node,mean_packet_size,max_saturation_pct,steps_in_harmful_saturation,final_saturation_variance,degradation_under_malicious,layer_a_fp_rate,layer_a_campaign_recall,layer_a_sat_pct
53,50274,good_regime_32768,32768,7,ring,0.7,200,collusion_3,coordinated_poison,True,ghost_meadow,collusion_3_good_regime_32768,12,78,79,,,79,0,0,0,188,51509304,6284,4292442.0,8196.897517504774,45.55291069878472,0,0.013552698088280949,0.0,0.0,1.0,6.201171875
53,50274,good_regime_32768,32768,7,ring,0.7,200,collusion_3,coordinated_poison,True,local_only,collusion_3_good_regime_32768,12,63,68,174,179,68,9,0,0,0,0,0,0.0,0.0,71.71111111111111,0,1.4232098765432122,0.0,,,
53,50274,good_regime_32768,32768,7,ring,0.7,200,collusion_3,coordinated_poison,True,exact_gossip,collusion_3_good_regime_32768,12,8,10,19,20,10,9,0,0,400,20405582,6278,1700465.1666666667,3250.331634278433,95.0,429,0.0,0.0,,,
54,50274,good_regime_32768,32768,7,star_sparse,0.15,300,namespace_flood,namespace_flood,True,ghost_meadow,namespace_flood_good_regime_32768,12,6,12,,,12,0,0,0,367,6439176,808,536598.0,7969.277227722772,100.0,420,2.386033042403292e-05,0.0,0.0,1.0,6.201171875
54,50274,good_regime_32768,32768,7,star_sparse,0.15,300,namespace_flood,namespace_flood,True,local_only,namespace_flood_good_regime_32768,12,63,68,174,181,68,11,0,0,32,0,0,0.0,0.0,95.0,73,3.535206611570251,0.0,,,
54,50274,good_regime_32768,32768,7,star_sparse,0.15,300,namespace_flood,namespace_flood,True,exact_gossip,namespace_flood_good_regime_32768,12,2,9,2,9,9,11,0,0,462,1569170,785,130764.16666666667,1998.9426751592357,95.0,475,0.0,0.0,,,
55,50274,good_regime_32768,32768,7,regional_mesh,0.4,100,stale_replay,replay_stale,True,ghost_meadow,stale_replay_good_regime_32768,12,76,77,,,77,0,0,11,11,60098976,7319,5008248.0,8211.364394042903,31.21060458096591,0,0.0076340742347654235,0.0,0.0,1.0,6.201171875
55,50274,good_regime_32768,32768,7,regional_mesh,0.4,100,stale_replay,replay_stale,True,local_only,stale_replay_good_regime_32768,12,63,68,,,68,0,0,11,0,0,0,0.0,0.0,36.54545454545455,0,1.4214876033057864,0.0,,,
55,50274,good_regime_32768,32768,7,regional_mesh,0.4,100,stale_replay,replay_stale,True,exact_gossip,stale_replay_good_regime_32768,12,9,10,21,23,10,0,11,0,162,20776888,7310,1731407.3333333333,2842.255540355677,95.0,348,0.0,0.0,,,
56,50274,good_regime_192000,192000,13,partitioned_clusters,0.7,200,benign_heavy,none,False,ghost_meadow,benign_heavy_good_regime_192000,12,,,,,,0,0,0,0,1035128928,21558,86260744.0,48016.0,20.31918402777778,0,0.005275537938247452,0.0,0.0,1.0,2.0140625
56,50274,good_regime_192000,192000,13,partitioned_clusters,0.7,200,benign_heavy,none,False,local_only,benign_heavy_good_regime_192000,12,40,42,102,112,42,12,0,0,60,0,0,0.0,0.0,95.0,123,4.293333333333331,0.0,,,
56,50274,good_regime_192000,192000,13,partitioned_clusters,0.7,200,benign_heavy,none,False,exact_gossip,benign_heavy_good_regime_192000,12,4,5,9,10,5,12,0,0,446,82266304,21558,6855525.333333333,3816.0452732164395,95.0,465,0.0,0.0,,,
57,50274,good_regime_192000,192000,13,full_mesh,0.15,300,coordinated_bursty,distributed_campaign,True,ghost_meadow,coordinated_bursty_good_regime_192000,12,,,,,,0,0,12,0,471325056,9816,39277088.0,48016.0,20.949045138888888,0,0.0009907644766348315,0.0,0.0,1.0,2.0140625
57,50274,good_regime_192000,192000,13,full_mesh,0.15,300,coordinated_bursty,distributed_campaign,True,local_only,coordinated_bursty_good_regime_192000,12,59,72,166,178,72,0,12,0,42,0,0,0.0,0.0,95.0,80,13.982222222222218,0.0,,,
57,50274,good_regime_192000,192000,13,full_mesh,0.15,300,coordinated_bursty,distributed_campaign,True,exact_gossip,coordinated_bursty_good_regime_192000,12,6,7,16,17,7,0,12,0,446,37364360,9816,3113696.6666666665,3806.475142624287,95.0,462,0.0,0.0,,,
58,50274,good_regime_192000,192000,13,ring,0.4,100,low_and_slow,distributed_campaign,True,ghost_meadow,low_and_slow_good_regime_192000,12,,,,,,0,0,12,0,227259728,4733,18938310.666666668,48016.0,10.932595486111111,0,0.03714876904899685,0.0,0.0,1.0,2.0140625
58,50274,good_regime_192000,192000,13,ring,0.4,100,low_and_slow,distributed_campaign,True,local_only,low_and_slow_good_regime_192000,12,58,71,,,71,0,0,12,0,0,0,0.0,0.0,37.4,0,5.156388888888892,0.0,,,
